year,path
2000,FORMSADMIN/FORM6/tmpwork/F6_PUB.DBC
2001,FORMSADMIN/FORM6/tmpwork/F6_PUB.DBC
2002,FORMSADMIN/FORM6/tmpwork/F6_PUB.DBC
2003,FORMSADMIN/FORM6/tmpwork/F6_PUB.DBC
2004,FORMSADMIN/FORM6/tmpwork/F6_PUB.DBC
2005,FORMSADMIN/FORM6/tmpwork/F6_PUB.DBC
2006,FORMSADMIN/FORM6/tmpwork/F6_PUB.DBC
2007,FORMSADMIN/FORM6/tmpwork/F6_PUB.DBC
2008,FORMSADMIN/FORM6/tmpwork/F6_PUB.DBC
2009,UPLOADERS/FORM6/working/FORM6.DBC
2010,UPLOADERS/FORM6/working/FORM6.DBC
2011,UPLOADERS/FORM6/working/FORM6.DBC
2012,UPLOADERS/FORM6/working/FORM6.DBC
2013,UPLOADERS/FORM6/working/FORM6.DBC
2014,UPLOADERS/FORM6/working/FORM6.DBC
2015,UPLOADERS/FORM6/working/FORM6.DBC
2016,UPLOADERS/FORM6/working/FORM6.DBC
2017,UPLOADERS/FORM6/working/FORM6.DBC
2018,UPLOADERS/FORM6/working/FORM6.DBC
2019,UPLOADERS/FORM6/working/FORM6.DBC
2020,UPLOADERS/FORM6/working/FORM6.DBC
