year,path
1994,FORMSADMIN/FORM1/working/F1_PUB.DBC
1995,FORMSADMIN/FORM1/working/F1_PUB.DBC
1996,FORMSADMIN/FORM1/working/F1_PUB.DBC
1997,FORMSADMIN/FORM1/working/F1_PUB.DBC
1998,FORMSADMIN/FORM1/working/F1_PUB.DBC
1999,FORMSADMIN/FORM1/working/F1_PUB.DBC
2000,FORMSADMIN/FORM1/working/F1_PUB.DBC
2001,UPLOADERS/FORM1/working/F1_PUB.DBC
2002,FORMSADMIN/FORM1/working/F1_PUB.DBC
2003,UPLOADERS/FORM1/working/F1_PUB.DBC
2004,UPLOADERS/FORM1/working/F1_PUB.DBC
2005,UPLOADERS/FORM1/working/F1_PUB.DBC
2006,UPLOADERS/FORM1/working/F1_PUB.DBC
2007,UPLOADERS/FORM1/working/F1_PUB.DBC
2008,UPLOADERS/FORM1/working/F1_PUB.DBC
2009,UPLOADERS/FORM1/working/F1_PUB.DBC
2010,UPLOADERS/FORM1/working/F1_PUB.DBC
2011,UPLOADERS/FORM1/working/F1_PUB.DBC
2012,UPLOADERS/FORM1/working/F1_PUB.DBC
2013,UPLOADERS/FORM1/working/F1_PUB.DBC
2014,UPLOADERS/FORM1/working/F1_PUB.DBC
2015,UPLOADERS/FORM1/working/F1_PUB.DBC
2016,UPLOADERS/FORM1/working/F1_PUB.DBC
2017,UPLOADERS/FORM1/working/F1_PUB.DBC
2018,UPLOADERS/FORM1/working/F1_PUB.DBC
2019,UPLOADERS/FORM1/working/F1_PUB.DBC
2020,UPLOADERS/FORM1/working/F1_PUB.DBC
