year,path
2006,UPLOADERS/FORM60/working/FORM60.DBC
2007,UPLOADERS/FORM60/working/FORM60.DBC
2008,UPLOADERS/FORM60/working/FORM60.DBC
2009,UPLOADERS/FORM60/working/FORM60.DBC
2010,UPLOADERS/FORM60/working/FORM60.DBC
2011,UPLOADERS/FORM60/working/FORM60.DBC
2012,UPLOADERS/FORM60/working/FORM60.DBC
2013,UPLOADERS/FORM60/working/FORM60.DBC
2014,UPLOADERS/FORM60/working/FORM60.DBC
2015,UPLOADERS/FORM60/working/FORM60.DBC
2016,UPLOADERS/FORM60/working/FORM60.DBC
2017,UPLOADERS/FORM60/working/FORM60.DBC
2018,UPLOADERS/FORM60/working/FORM60.DBC
2019,UPLOADERS/FORM60/working/FORM60.DBC
2020,UPLOADERS/FORM60/working/FORM60.DBC
